movieId,rating,numVotes
H73,7.8,2193
H82,6.5,1776
H83,4.7,9318
H84,7.7,4666
GM235,7.5,9019
C122,6.4,5738
C123,5.9,6241
FL35,6.5,9340
SW30,7.0,13295
CLa95,6.0,11511
CLa100,7.7,9763
CLa110,8.3,9045
CLa121,7.2,1379
CLa125,5.3,2429
LM11,5.4,3633
WW46,5.3,7834
WW81,5.3,8180
WW83,7.5,4692
WW85,6.5,8282
WW87,7.7,4146
AM27,4.7,6899
HH42,6.4,7566
LlB85,6.8,11003
ByH8,6.5,2961
MLR30,6.8,10538
MLR31,6.9,5055
GC38,5.7,10414
GC48,6.9,11558
GC54,5.7,10602
JNm30,5.0,6228
ELM15,7.7,9231
HBH90,6.8,1851
HHa65,8.5,4553
OP15,6.3,9322
RoS60,7.6,10710
RoS65,7.4,11682
RoS68,6.6,7819
RoS94,5.6,8075
RoS95,7.6,4558
RoS112,6.2,4609
RoS120,5.7,484
BW30,4.7,3741
RWB67,6.3,9262
GDo83,4.6,5235
GDo92,7.4,8721
HKo10,5.4,4124
NF21,8.3,1186
NF25,7.5,14658
NF27,7.3,489
NNo1,5.2,8696
GaK20,7.1,11633
JoL9,5.2,2223
ADT18,7.0,528
TBs20,6.9,139
TBs40,6.6,10036
BaD28,6.1,13108
ChC30,7.5,13062
DMi45,6.3,3914
IrR50,4.6,4174
IH34,7.2,14933
IH38,7.0,12285
IH42,7.6,4904
IH43,5.4,437
StH10,5.0,5954
DL13,6.5,12678
FZ17,7.5,12899
FZ19,6.9,11587
FZ20,4.7,2069
JD30,5.3,11518
LuV80,8.4,4806
FWx30,7.8,13805
MRs32,7.9,3915
MRb43,5.2,1232
PHy6,4.7,5397
PHy7,7.3,10741
PHy9,8.8,12878
PHy29,6.0,7741
SGi30,8.4,2235
VM33,6.3,9652
PhK50,8.8,14377
RBt17,7.0,5111
RBt20,5.3,6683
RWh20,7.0,10938
RWi13,6.8,2243
RWi36,4.9,14790
RWi37,4.9,3458
RWi38,7.7,13287
DS13,6.9,8479
DS30,8.1,13325
DS32,7.1,2829
DS33,7.2,12896
DS36,5.6,1603
DS37,5.4,12589
DS38,6.2,7685
DS40,5.2,9885
InB32,5.5,5415
InB37,7.3,4302
MNo10,7.6,13405
ISt10,6.2,12630
ISt36,5.9,4052
ISt38,7.5,6905
ISt40,6.7,3359
JLM20,6.2,6028
KeA36,5.7,14275
KeA38,5.3,14976
RiF13,8.0,5333
RiF25,5.2,4532
RiF28,6.3,7885
RiF33,6.5,9837
RiF35,4.6,3950
RiF36,5.8,8286
RiF42,8.0,3155
RiF47,6.2,13901
RiF48,7.2,7080
RiF52,8.0,871
LGt25,8.0,14289
LGt31,8.0,9503
LGt32,6.6,2381
LGt33,7.4,6097
RoN22,6.1,13579
RoN28,6.0,11987
RoN30,6.3,9784
RoN32,8.2,7924
APo43,5.4,5038
BeK10,4.3,13509
CTB25,6.9,11332
JLo11,6.0,14783
JLo25,5.4,5477
JLo30,6.4,9873
RaT46,4.3,11131
IGu29,5.8,3648
IGu31,7.8,4776
SaF20,5.7,782
StD58,7.1,5728
StD61,3.2,2331
StD80,6.2,2922
HFr18,6.6,3761
JLT32,6.6,3828
JLT34,4.2,7153
JLT35,8.3,5743
JLT36,7.5,4257
JLT39,4.7,7510
MFr33,6.8,7179
MFr40,5.2,5889
MiA22,6.7,5037
MiA25,5.8,6197
MiA27,3.2,100
RcB18,8.0,7950
RcB25,7.2,5865
RcB30,5.5,5909
RcB40,6.5,5581
AR10,6.5,11290
CyE30,5.6,14273
RiQ35,5.6,8789
BF6,7.4,14145
BF7,5.4,5253
BF8,7.3,11453
BF9,5.3,8650
CNy1,4.9,4264
DaM35,7.5,2246
GH12,6.1,13908
GH15,6.5,14407
GH16,7.3,6569
GH17,7.1,10681
GH25,7.3,58
GH30,7.9,14396
GH35,4.2,6801
HaB35,4.8,11035
KHu22,6.0,8159
NJu12,7.9,331
JIv28,7.8,2236
JIv30,4.5,4430
LiA30,5.5,13934
MCy10,6.9,1296
Roa35,7.3,7121
RoA41,8.0,13231
RoA57,6.7,2768
RoA68,4.6,7926
RoA70,8.3,712
StK9,6.8,6675
StK10,6.5,2260
StK15,8.8,12997
StK21,6.5,9786
WoR20,5.6,12690
WoR25,5.9,12364
AWj37,7.9,8310
PeG6,7.5,7392
BE11,6.9,4912
BE12,5.8,4689
BE20,5.1,6244
BE21,6.8,13294
BE22,6.2,12877
BE24,7.3,4713
BE25,6.0,13076
BE26,5.6,11761
BE27,5.0,2658
BE28,5.9,875
BE29,7.0,2748
BE36,8.6,11129
BE39,5.3,4903
DeM17,8.1,5953
InA50,6.3,14458
JCn6,5.9,10441
JCn20,5.4,7546
RAl56,6.8,4878
RAl62,8.3,11185
RAl73,5.7,6709
RAl80,4.7,11385
RAl87,5.3,11634
RAl93,4.1,5009
RCo47,5.6,811
RCo48,7.5,2755
SK3,5.8,11430
SK8,6.5,6617
SK26,7.7,7633
ToG10,5.4,8229
ToG15,5.7,3643
ToG22,7.2,6304
